model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,13,-0.17771321764905518,9.739396353253559,9.751499548274225,3.122739109864003,2.5096759467461016,1.808683458389159,0.65,0.812,5.892973939855818,9.012525905691735,11.814226349441835,18.178100548406512,,
VAR(1),0,14,-0.22560495997281027,10.557133168035081,10.586916499663348,3.253754216234433,2.583069531131381,1.8855671031194887,0.636,0.802,5.969138355050527,9.129009326803041,12.665461850419407,19.92900376184937,,
VAR(1),0,15,-0.33567454689571996,10.965619886606776,11.056366048267199,3.3251114339623564,2.663342652580725,1.9328054492731768,0.628,0.81,6.036623106416362,9.23221834760156,12.821342916243033,20.195231773468084,,
VAR(1),0,16,-0.32641382708747185,11.818065965895636,11.900975820477738,3.449779097344892,2.7530275417461514,2.012364528168189,0.614,0.796,6.096660392962368,9.324037453850073,13.579244462498592,21.992113775601883,,
VAR(1),0,17,-0.37403072650790514,12.230444094210828,12.345882190394448,3.513670757255786,2.76459213705028,2.0346452099716847,0.608,0.79,6.150272063714315,9.406029428773198,13.80608970075511,22.60826677409762,,
VAR(1),0,18,-0.3297777365272897,12.768290813561213,12.851507587443177,3.5848999410643496,2.812920311770371,2.090891350568369,0.594,0.784,6.19831319596516,9.479502000240242,14.219861474039794,23.85557789748628,,
VAR(1),0,avg_all,-0.1866113440572347,7.715582903608872,7.743138267974008,2.6926183523799025,2.140668304494335,1.552937576409861,0.6702222222222223,0.8457777777777777,5.17473165552003,7.914069123054431,10.233065063405364,15.752770111886804,,
VAR(1),1,1,-0.0257870832050031,1.0375805559756524,1.0361703685239212,1.0179245397002281,0.8173763313569956,0.5771310441713126,0.786,0.944,2.5278241134010164,3.8659733675347487,3.581338342289446,4.959722549886703,,
VAR(1),1,2,-0.0030682560122043028,2.069695367471771,2.0655653909317833,1.4372074975214202,1.15518428900749,0.8177893479428728,0.748,0.926,3.3596997699859696,5.138217396068444,5.08354635157145,6.926453095502312,,
VAR(1),1,3,-0.023809939017811033,3.0527477709939745,3.047209188648022,1.7456257298310032,1.4090494944680136,0.9985814696601447,0.72,0.894,3.89204936895233,5.952375849938395,6.296002212317804,8.4282517698057,,
VAR(1),1,4,-0.04361987701197578,4.1651128391105114,4.158685307102831,2.039285489357199,1.617620269671637,1.1660774077718588,0.69,0.874,4.273332537732369,6.535498136088936,7.502474839355853,10.544280840568105,,
VAR(1),1,5,-0.009605213003381756,4.923131043955922,4.913377041984843,2.2166138684905956,1.7498690231153589,1.267358120357802,0.682,0.868,4.562810517502944,6.97821650179639,8.13839358712287,11.524462837068151,,
VAR(1),1,6,-0.0871461030586641,5.819179119021639,5.815135204061913,2.4114591441826074,1.892236800807755,1.3758163163584147,0.668,0.86,4.7909071922685245,7.32706026240146,9.038533026262737,13.205756233832982,,
VAR(1),1,7,0.01603032710782109,6.5258485171109655,6.513053791463927,2.5520685318901464,1.9954180325312578,1.4554127129325403,0.674,0.864,4.975402613173698,7.609221659577105,9.626336955406567,14.755263230579606,,
VAR(1),1,8,0.017665643320204344,6.959842053215405,6.946234444062888,2.6355709901391173,2.067321017000807,1.506665029638868,0.672,0.85,5.12757747237939,7.841953023194818,10.01416308240249,15.497426736051274,,
VAR(1),1,9,-0.011126861382700828,7.311127307899688,7.296628860328118,2.7012272877949606,2.1065132093142593,1.542582551866642,0.67,0.854,5.255018353181122,8.036857031152781,10.276730986244445,16.23574919092209,,
VAR(1),1,10,-0.10634126177250976,7.601381323054201,7.597487024363464,2.7563539367003402,2.142763002647129,1.5636187797089112,0.694,0.856,5.3630578588480455,8.20208919637175,10.30103880828393,16.57873273319979,,
VAR(1),1,11,-0.13048816968839805,7.704212649240006,7.705831386370161,2.775937929127768,2.179341898240647,1.5838058754503908,0.68,0.846,5.455577150118526,8.343585241978202,10.517678090015048,16.468623675641055,,
VAR(1),1,12,-0.10513396452211529,8.287031352521975,8.281510440313076,2.8777613591667177,2.3068471033637232,1.6535938368368093,0.682,0.866,5.5354816281685695,8.465788595625547,10.65483749988667,16.871657294410166,,
VAR(1),1,13,-0.15607838575162467,8.814078657095031,8.820810962279664,2.969985010446966,2.340009983443858,1.6979147947344364,0.686,0.836,5.604997055965605,8.572103268023595,11.260318265659135,18.240706750292713,,
VAR(1),1,14,-0.2027861301504166,9.0038174704319,9.026932050072428,3.004485321993174,2.370761082995899,1.725031629062454,0.652,0.844,5.665861545595658,8.665187472217609,11.377670193112726,18.259353995257758,,
VAR(1),1,15,-0.26511444154935804,9.109153017358246,9.161220378441557,3.0267507955630504,2.3817748776809893,1.7316962892173213,0.658,0.846,5.719454414640818,8.747150692411601,11.454509976981447,18.228513101664625,,
VAR(1),1,16,-0.20314055923262375,9.451585833450077,9.47394874858852,3.0779780292569536,2.4030257300370814,1.751355216783056,0.678,0.846,5.766885297708104,8.81968996829107,11.697197583668862,19.147834932169697,,
VAR(1),1,17,-0.16184018612858156,9.503955516387421,9.511139851200783,3.0840135945226934,2.435500204601296,1.767077986104918,0.662,0.85,5.809057397190898,8.884186628715007,11.650825176099826,19.170271234580415,,
VAR(1),1,18,-0.15673683598309424,10.204640752225778,10.208797906475315,3.1951209533404703,2.5297410168829577,1.8341826521215199,0.656,0.824,5.846713406923155,8.941776525884197,12.178935426542864,20.5315727986711,,
VAR(1),1,avg_all,-0.09211818316902431,6.752451174806676,6.7544299080674,2.529187222723634,1.9944640759537309,1.4453161700400152,0.6865555555555556,0.8637777777777778,4.9739837607631525,7.60705171207065,9.480585022401339,14.754146277783567,,
VAR(1),-1,1,,,,,,,,,,,,,2.222372877406998,0.5957181508960185
VAR(1),-1,2,,,,,,,,,,,,,4.22141403646699,0.8238668071500541
VAR(1),-1,3,,,,,,,,,,,,,6.125433464908613,0.9999971427353894
VAR(1),-1,4,,,,,,,,,,,,,8.091221860106135,1.1479386747382079
VAR(1),-1,5,,,,,,,,,,,,,10.305300385843255,1.297261965552623
VAR(1),-1,6,,,,,,,,,,,,,11.953681767352842,1.4024339172145643
VAR(1),-1,7,,,,,,,,,,,,,13.20659732069864,1.4656995643256625
VAR(1),-1,8,,,,,,,,,,,,,14.628001041719944,1.5505151260395929
VAR(1),-1,9,,,,,,,,,,,,,15.360666218384178,1.5892307016175296
VAR(1),-1,10,,,,,,,,,,,,,16.039083312241797,1.6186438574988202
VAR(1),-1,11,,,,,,,,,,,,,16.4007245692582,1.641189651452424
VAR(1),-1,12,,,,,,,,,,,,,17.70573272277945,1.715680325071118
VAR(1),-1,13,,,,,,,,,,,,,18.57231051055389,1.7532991265618003
VAR(1),-1,14,,,,,,,,,,,,,19.613848549735796,1.805299366090973
VAR(1),-1,15,,,,,,,,,,,,,20.21758642670877,1.8322508692452486
VAR(1),-1,16,,,,,,,,,,,,,21.374924569066266,1.881859872475624
VAR(1),-1,17,,,,,,,,,,,,,21.85702204159523,1.9008615980383017
VAR(1),-1,18,,,,,,,,,,,,,23.060305493918474,1.9625370013449444
VAR(1),-1,avg_all,,,,,,,,,,,,,14.497568176041414,1.4991268732249385
Chronos-2 (joint),0,1,-0.05193266892689728,1.1583930474720447,1.1587732634789707,1.0764633126488663,0.85538241060695,0.6152579019392674,0.738,0.974,2.4070850372314454,5.214265434265137,3.923554766541,5.709003515814234,,
Chronos-2 (joint),0,2,-0.04100891479647786,2.056084064434422,2.05365362739834,1.4330574403694851,1.1311011722134274,0.8149605868298372,0.75,0.958,3.3792657470703125,6.77578275680542,5.310587316417057,7.6516052880434975,,
Chronos-2 (joint),0,3,-0.03822909917124207,2.9469857752096402,2.9425532676826625,1.7153872063422482,1.376621481727301,0.9796044994611737,0.75,0.96,4.164093299865723,8.100177448272705,6.218869017699252,8.824810749833862,,
Chronos-2 (joint),0,4,-0.09938532222282626,3.795225767195889,3.79751275793483,1.948720800405956,1.5574249714800499,1.1106090253594691,0.766,0.962,4.787166748046875,9.19026351737976,7.033309649191187,10.215379482583224,,
Chronos-2 (joint),0,5,-0.05536757325622075,5.253166696469213,5.245725931244556,2.2903549793087876,1.8063653717637405,1.305824739639479,0.726,0.95,5.2314033203125,10.025704336166381,8.53053926279293,11.821781665850029,,
Chronos-2 (joint),0,6,-0.08058678182818647,5.899474474356795,5.894169754813498,2.4277911266856336,1.9535129505949442,1.3919762351097213,0.726,0.96,5.619902465820313,10.682685623168945,8.81837497550863,12.086568498351129,,
Chronos-2 (joint),0,7,-0.1017142551579406,6.322960420663529,6.320660289524546,2.514092339100644,1.9996837573407995,1.4287583068368854,0.76,0.954,6.010037353515625,11.381223860740661,9.06701802547261,13.306384444059184,,
Chronos-2 (joint),0,8,-0.10690982246091527,7.316680193085528,7.313476542837974,2.7043440134047247,2.1742619122233453,1.5509038418969312,0.75,0.954,6.329273315429687,11.955539475440979,9.755133916163702,13.875759527972233,,
Chronos-2 (joint),0,9,-0.11593064816871136,7.874445734618594,7.872136758334169,2.80573283801829,2.2724460232667436,1.609288528840582,0.744,0.952,6.555072846412659,12.404984578132629,9.99076451907648,14.500517770704047,,
Chronos-2 (joint),0,10,-0.10611728678078275,8.412602418269445,8.407038091986625,2.89948928123327,2.3607294186988224,1.6635051426986085,0.748,0.956,6.832096923828125,12.782930656433106,10.317982889766688,14.84680811938363,,
Chronos-2 (joint),0,11,-0.11258676646040316,8.686219240088883,8.681522581590709,2.946442360133778,2.3908770358236886,1.682186718447806,0.766,0.956,7.0821279296875,13.30525093269348,10.437086037962779,15.190776285071829,,
Chronos-2 (joint),0,12,-0.13832491789789175,9.566441324361229,9.566442224623966,3.0929665734734293,2.4928973890989243,1.7622598986034363,0.742,0.956,7.381805465698243,13.852593160629272,11.176429758995017,16.252180349629057,,
Chronos-2 (joint),0,13,-0.137461546884478,9.892602238737927,9.891712711132339,3.145109332142897,2.549293405933359,1.8010535011007054,0.75,0.95,7.564935424804688,14.222794401168823,11.366455557930575,16.442425096972634,,
Chronos-2 (joint),0,14,-0.1845698842513701,10.634459255821207,10.647256379482132,3.263013389412022,2.619310561459547,1.867215399855954,0.73,0.948,7.755720703125,14.587718467712403,11.892140649557533,17.16819411094656,,
Chronos-2 (joint),0,15,-0.29792573135282197,11.03496782078287,11.10165762654342,3.3319150089015506,2.6746696184869747,1.9155034618247462,0.732,0.948,7.859583862304688,14.815759966850282,12.296319110411995,17.319362524149067,,
Chronos-2 (joint),0,16,-0.2820882204422591,11.960010734597033,12.015664477240142,3.466361850303592,2.7894914105291786,1.9859872584917169,0.732,0.944,8.021271484375,15.18917455482483,12.790874548145812,17.8835720113813,,
Chronos-2 (joint),0,17,-0.35445668480040227,12.40149175575329,12.502328313641472,3.535863163874059,2.814477261682943,2.0184771393514347,0.74,0.96,8.583481140136719,17.262642237663268,13.072123582162575,19.198250810511045,,
Chronos-2 (joint),0,18,-0.29126650055228287,12.989227058952222,13.048084779178295,3.612213279857419,2.8791911184646475,2.072666020829704,0.736,0.956,8.786848876953124,17.71004628944397,13.475111332316747,19.80228848798573,,
Chronos-2 (joint),0,avg_all,-0.14421459030067277,7.677857667826097,7.692242743259369,2.678295460867592,2.1498742928552996,1.5320021226176368,0.7436666666666667,0.9554444444444444,6.352842885812124,12.192196538766225,9.748481939784032,14.005314929957907,,
