model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VECM(r=1),0,1,-0.03297802884876723,1.0602273276207708,1.059194423352278,1.029171717135813,0.827382182560393,0.6220847295278367,0.736,0.898,2.4528388983734657,3.6748451193486242,3.871859490703116,5.753427206774043,,
VECM(r=1),0,2,0.007332798675276745,1.7454247599371873,1.741987680353724,1.319843809075045,1.0595512479425375,0.7801402692379302,0.698,0.872,2.7795548185323518,4.178296372199781,4.9496664326581294,7.50856148788452,,
VECM(r=1),0,3,0.016033410297246826,2.49819269790153,2.4934533827514884,1.5790672508640942,1.253082142559937,0.9395885230202577,0.674,0.822,3.072278761748517,4.645978121597344,6.316152496750873,9.88407135546909,,
VECM(r=1),0,4,-0.00047304107022840116,3.3854646564365107,3.378693950891492,1.8381223982345387,1.4781305507912486,1.0964036496318266,0.598,0.806,3.3506544893951897,5.0608932645651965,7.203561257759325,10.91374122163793,,
VECM(r=1),0,5,0.06271415932676407,3.871088790515153,3.8672796787141888,1.9665400272341746,1.592033387557618,1.161813760369192,0.616,0.838,3.628565629097259,5.4628758884682345,7.649642978831773,11.80226278247264,,
VECM(r=1),0,6,0.002007659112555098,4.6340297585723995,4.624765729750364,2.150526849344217,1.728624132197549,1.2804254607552092,0.614,0.812,3.8998424014607904,5.871296944746161,8.494768503771908,13.147923585008268,,
VECM(r=1),0,7,0.09936151907997084,5.601952976549619,5.600621782070398,2.3665632850338905,1.8544741903469018,1.397654653586478,0.624,0.792,4.163124479659369,6.291520227250453,9.441069462264718,15.991446144876189,,
VECM(r=1),0,8,0.11512071649948337,6.39865286077111,6.3991083344169315,2.529645891111428,1.9667178080167689,1.4754417892354694,0.612,0.798,4.3908957054764715,6.643438193955097,10.059606378604409,16.865905100839907,,
VECM(r=1),0,9,0.07474523805729515,7.240017300588598,7.231124116599664,2.6890749555562157,2.1484135321519533,1.5801564623585012,0.6,0.792,4.637132305863399,6.985300268797483,10.692958014758338,17.64378681924528,,
VECM(r=1),0,10,-0.020853402909832234,7.445648027965371,7.431191596322356,2.7260212024711685,2.166948924075897,1.616638687430452,0.616,0.806,4.869622670317574,7.339125580527797,10.89496583416831,18.005809858283087,,
VECM(r=1),0,11,-0.03200184282158079,7.753655991504939,7.73917279746591,2.78193687877096,2.213192502031008,1.6611994802784016,0.632,0.81,5.086026454809311,7.643762977455581,11.133238317096408,18.012271651700082,,
VECM(r=1),0,12,0.03586985168281201,8.286599017136119,8.271312465361586,2.8759889543184247,2.2546850733069883,1.696847511588594,0.656,0.814,5.300256062875518,7.960713017909711,11.235468565783881,18.72292853150417,,
VECM(r=1),0,13,0.028502086075296567,9.499676502015033,9.481489517921647,3.0792027406329785,2.411644484190546,1.8105441121251116,0.642,0.808,5.4838006972658295,8.242700051268226,12.150863733607894,20.230744430349645,,
VECM(r=1),0,14,-0.010881873373288397,10.169557016421113,10.149336317556402,3.1858023035895373,2.475836600617713,1.9037166918926378,0.602,0.818,5.65902742880509,8.510235533644666,12.647800339977218,20.92423551689265,,
VECM(r=1),0,15,-0.05306920728164815,10.722883399831984,10.704253973793827,3.2717356210112434,2.5988685848436743,1.9780464539675326,0.594,0.798,5.8432269313964005,8.79687411805605,13.067001738382205,21.64545141668042,,
VECM(r=1),0,16,0.0924087351100388,11.219206823874385,11.205307784551273,3.3474330141992796,2.6471111098692974,2.0204954352968443,0.636,0.798,6.02098743812427,9.100556483830571,13.418876919831305,22.371597611317924,,
VECM(r=1),0,17,0.20114046331929683,11.81604202385909,11.832867425795698,3.4398935195432574,2.7104745985608254,2.0758090532123252,0.64,0.796,6.197070176284565,9.31723246217176,13.938982834608536,23.946041074615888,,
VECM(r=1),0,18,0.2429778142771678,12.965882090170158,12.998988544220731,3.605411009055796,2.8260008130198844,2.1683843996461527,0.604,0.784,6.396742823946235,9.56293634548696,14.850098500178783,25.45775701451416,,
VECM(r=1),0,avg_all,0.04599761417821438,7.017455667870616,7.01167497232722,2.5434434126212255,2.0118428813689295,1.5147439512867082,0.633,0.8145555555555556,4.6239804540795335,6.96047672062665,10.112032322207618,16.601553489448097,,
VECM(r=1),1,1,0.05912405433133673,1.1522701450068662,1.1534612585174269,1.073993137090469,0.8530262752287905,0.6423466044991736,0.722,0.892,2.4518673685612162,3.675263935460686,4.1126822518429424,5.826721591885481,,
VECM(r=1),1,2,0.06387520143166715,2.110843719764707,2.110702073683112,1.452825548262114,1.1582530998588665,0.8463027262297637,0.668,0.872,2.9907808529346225,4.493694378133221,5.449690599755558,8.316948020749283,,
VECM(r=1),1,3,0.05346152992294362,2.732735468153516,2.7301281323989115,1.652309938358694,1.328396348220718,0.9700217929269463,0.648,0.862,3.36037456015104,5.0546600510379305,6.281516416588805,8.741781708624071,,
VECM(r=1),1,4,0.1045424867002382,3.3158415540326276,3.3201390024500324,1.822124859182277,1.4693497106899143,1.054252209204168,0.668,0.868,3.67338286898887,5.527042741204061,6.754732162456981,9.787925030207045,,
