model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,-0.031008489882371024,1.0103254378057078,1.0092663133748812,1.0046224730588507,0.8134407396333071,0.5716334105302429,0.784,0.956,2.555294008805892,3.9079849471700596,3.518631350783603,4.514681842083312,,
VAR(1),0,2,-0.016105053207462985,1.2713819712774443,1.2690985800737045,1.126542755546235,0.9042490823740097,0.6379063674468708,0.778,0.942,2.780143289761457,4.251862247523055,3.9644702508520697,5.194359183919284,,
VAR(1),0,3,-0.004292764768193893,1.2143960429519034,1.2119856786953538,1.1009022112319304,0.88062361804809,0.6215139007831141,0.808,0.948,2.830010454480931,4.328127494657109,3.886660369703244,5.278235389080723,,
VAR(1),0,4,-0.08694660201137822,1.1607564330753366,1.1659946318105117,1.079812313233421,0.8576645957093092,0.612005460765002,0.808,0.95,2.844200446013394,4.349829213957605,3.8619196740118147,5.083775503570052,,
VAR(1),0,5,-0.016537898028599368,1.1062573700628746,1.1043183573939526,1.0508655277408012,0.8540999642530391,0.599112210364551,0.794,0.974,2.848917820259935,4.357043815284158,3.6487538505995816,4.729062065050038,,
VAR(1),0,6,0.07143714429185981,1.2403966455868645,1.2430191178802685,1.1149076723568945,0.8848324890585646,0.6290913000929481,0.794,0.944,2.8506390776539687,4.359676251302442,3.945583320801735,5.437258291952138,,
VAR(1),0,7,0.027156355600007096,1.3275143455301335,1.325596784488548,1.1513456407563056,0.9208517841978167,0.6476514370770555,0.796,0.95,2.8513034041868424,4.360692251058843,4.045983103123981,5.799722010836005,,
VAR(1),0,8,0.055907011545971816,1.2202203283447377,1.2209054816280498,1.1049459179652412,0.8822447709383127,0.6209958204185236,0.816,0.962,2.851569446258349,4.361099127295845,3.8593649385310345,5.293003891078681,,
VAR(1),0,9,0.032408703837842355,1.3055968838519865,1.3040360141687304,1.1419439627970938,0.8927551274277957,0.6377025864292754,0.802,0.934,2.851678929755286,4.361266567855152,4.059430867048317,5.611126898009853,,
VAR(1),0,10,-0.07501379303541908,1.3859947124100398,1.3888497921307823,1.1784947145111777,0.9374512606416439,0.6652265661994016,0.764,0.936,2.851724993955734,4.3613370169703325,4.181537694970948,5.851358581046622,,
VAR(1),0,11,-0.023708665735417467,1.1759790153379805,1.1741891581382566,1.0836000914259174,0.8729794071081689,0.615496257354361,0.804,0.952,2.851744749652051,4.361367230700554,3.81444288172369,4.847972048525815,,
VAR(1),0,12,-0.035825892960016203,1.289409371767911,1.2881140476307558,1.1349511212518166,0.9064904948773486,0.6426433515666176,0.778,0.948,2.851753368554714,4.361380412174686,3.9406534421916315,5.271051159900795,,
VAR(1),0,13,0.01867228382631842,1.1387855323188971,1.1368566154375488,1.0662347843873548,0.8483559905080139,0.6022237395654843,0.818,0.952,2.851757187693598,4.361386253043562,3.8103414085967304,4.998054510272174,,
VAR(1),0,14,0.03008927854154645,1.2923850993566963,1.2907056938411332,1.13609229107548,0.915360066810952,0.6437543985663049,0.78,0.944,2.851758904297721,4.361388878363024,3.951251285791306,5.328509407057066,,
VAR(1),0,15,0.06875946369934267,1.1516182502084362,1.1540428775562397,1.0742638770601196,0.8562356493927439,0.6088721704553425,0.814,0.952,2.8517596860639065,4.361390073971227,3.780625982017313,5.003919170098853,,
VAR(1),0,16,-0.015921273230165938,1.2661463290263684,1.2638675233095853,1.1242186278965427,0.8987524416105256,0.6326237119805763,0.808,0.946,2.851760046434594,4.361390625110635,3.9963955486600815,5.384522238717754,,
VAR(1),0,17,-0.020365618884494337,1.1084333505595116,1.10663124229094,1.0519654187714251,0.8479985573699085,0.5963064167467631,0.826,0.972,2.85176021442817,4.361390882034639,3.655868294415315,4.8961666898484495,,
