model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95,trace_msfe,avg_crps
VAR(1),0,1,-0.13093990413532505,1.0645288385525964,1.0795450393704602,1.039011568448812,0.8405743735022225,0.5892642956323196,0.768,0.94,2.553685243649045,3.9055245531821976,3.6184913645002643,4.700485571146041,,
VAR(1),0,2,-0.0840994642924391,1.3070287642960368,1.3114874266617198,1.1452019152366624,0.9185922822865267,0.6480158413672673,0.812,0.966,3.028668573826049,4.631948869950292,4.001324969612531,5.227269119234998,,
VAR(1),0,3,-0.0020733050806243662,1.709444680519554,1.706030089752473,1.3061508679139913,1.0290596081194463,0.7315164354005699,0.802,0.928,3.2874316348180277,5.0276928210398495,4.665710830877518,6.402181840535541,,
VAR(1),0,4,-0.07838038381773854,1.890984000324422,1.8933455168911875,1.3759889232443652,1.1124606097746836,0.7790263367227303,0.788,0.942,3.4394719337570834,5.260218392488563,4.7890419096101375,6.585132939855234,,
VAR(1),0,5,-0.10997327103723673,1.8027085969177923,1.8111973000665862,1.345807304210594,1.0756339289438708,0.7575290716618233,0.81,0.958,3.5322541428201073,5.402116536159674,4.7203699253952385,6.533707873171319,,
VAR(1),0,6,0.033955836290255496,1.9893393611006958,1.9865136811966677,1.4094373633463346,1.1094564435092853,0.7924161974163763,0.796,0.944,3.5902754057958504,5.490852400425632,5.058126285986527,6.84171043061064,,
VAR(1),0,7,-0.024775608529147675,2.2856891476287133,2.281731600111447,1.5105401683210702,1.1762005618396436,0.8509949038150375,0.762,0.92,3.627210474769837,5.547339713852426,5.4884999198051,7.488443211335444,,
VAR(1),0,8,0.03550077986473987,1.9936305335964166,1.9909035779002293,1.4109938263154198,1.1017841614294872,0.789804740683844,0.818,0.944,3.651053049661687,5.583803785484904,5.09810311047085,7.069590773397372,,
VAR(1),0,9,0.022772162034352374,2.126084718773262,2.1223511206994377,1.456829132293639,1.1461804647295324,0.8187237737600491,0.802,0.944,3.6666230125410175,5.6076159888363515,5.2054923314079,7.254460955729722,,
VAR(1),0,10,-0.0093602706422408,2.334740678384864,2.330158811694589,1.526485771861169,1.2122862798343081,0.8599911522519306,0.782,0.926,3.6768922833574273,5.623321483245458,5.512333311148955,7.7378433414117636,,
VAR(1),0,11,-0.06750174172927377,2.363634867139588,2.3634640825417956,1.5373561989798576,1.2259506033073573,0.8696290105212073,0.778,0.928,3.6837252769966913,5.633771645220691,5.493275431429903,7.641477311015841,,
VAR(1),0,12,-0.1016790211251775,2.3935901282238046,2.3991415713043307,1.548916257034037,1.2294821524010504,0.8737352123058323,0.77,0.938,3.6883080956595955,5.6407804615402695,5.476478584472301,7.6527044389230765,,
VAR(1),0,13,-0.024511790454821103,2.1905319454836367,2.1867517094639752,1.4787669557655037,1.1691954179302393,0.8347162843300046,0.784,0.938,3.691404241878168,5.645515608562378,5.284402479755824,7.1559111793378785,,
VAR(1),0,14,-0.00278044688813035,2.389061227437815,2.384290835867837,1.5441149037127506,1.2430816546698589,0.8768221122716016,0.774,0.936,3.693510219217577,5.648736422963026,5.418277055698069,7.359468860703705,,
VAR(1),0,15,0.03745588447606269,2.0889837761098686,2.0862087518395316,1.4443714037045774,1.1539428249905583,0.8206779244315872,0.782,0.94,3.694951830064519,5.650941176494386,5.123979450749373,6.83472019823228,,
VAR(1),0,16,0.009976991099686632,2.012050622591753,2.008126061697977,1.4170836466835601,1.1272676598045623,0.7994802968476306,0.804,0.95,3.695944612559094,5.65245950629567,5.029317989451035,6.777319391573834,,
VAR(1),0,17,0.0005714985794337735,2.107965820832556,2.1037502158015164,1.4504310448282318,1.135553805105873,0.8167564387524398,0.794,0.938,3.6966322262594646,5.653511120701378,5.19636284443788,7.0823066760133875,,
VAR(1),0,18,0.0011912851348381546,2.238139248096796,2.233664388760875,1.4945448767972394,1.1804402521969144,0.8464469136693271,0.774,0.93,3.697111087024308,5.654243475042745,5.400268098305097,6.9753083581476085,,
VAR(1),0,19,-0.049572063040270974,1.9645583697816422,1.9630866424761462,1.4011019386454884,1.146362567951589,0.7971850210632274,0.8,0.964,3.697446323698303,5.654756175292183,4.851355270321709,6.357626227064645,,
VAR(1),0,20,-0.12771877596429065,2.28132228582762,2.2930717269897816,1.5142891820883426,1.2337254314455708,0.8639985326450642,0.76,0.946,3.6976822001996763,5.655116917270834,5.256518637720341,6.9237090912478525,,
VAR(1),0,21,-0.19387274126234227,2.1366279685181127,2.1699413523856514,1.4730720798337233,1.1760007487316098,0.8310064024093406,0.792,0.936,3.6978489747811274,5.6553719769828,5.2408892859502485,7.080334152804597,,
VAR(1),0,22,-0.19258830819589065,2.289429968500222,2.3219413650169773,1.523791772197559,1.2039287541187955,0.8617651268710198,0.778,0.928,3.6979674463638457,5.65555316363308,5.485856241778984,7.4244705552007675,,
VAR(1),0,23,-0.18245407644950515,2.1885908353382737,2.2175031436806423,1.489128316727824,1.1878711006906681,0.8463550453653007,0.782,0.938,3.6980519877498805,5.6556824585255425,5.284072103573845,7.06499438143544,,
VAR(1),0,24,-0.18642683561294543,1.9210500298316275,1.9519628948086198,1.3971266566809968,1.1136408400535465,0.7901641814778635,0.81,0.952,3.698112581878376,5.65577512924805,4.956413936800766,6.839450746800066,,
VAR(1),0,avg_all,-0.059470148782417964,2.044571517241986,2.0498403711241857,1.4266892531196562,1.1353613553069668,0.8060842188197248,0.7884166666666667,0.9405833333333333,3.574260952471948,5.4663604076015995,5.068956723719183,6.875442817705378,,
VAR(1),1,1,0.00977045565781714,0.9891053921639826,0.9872226431834162,0.9935907825575961,0.8017741362328477,0.5640723291569877,0.798,0.946,2.5514650432751567,3.902129049725079,3.476434723628857,4.566418458540109,,
VAR(1),1,2,-0.049734936869722225,1.475221064196596,1.4747441860136405,1.2143904586308476,0.9782525200157793,0.6847138464287593,0.812,0.944,3.027735186730967,4.630521377573731,4.248016949360214,5.945423252655399,,
