model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,0,1,0.09564692104278455,0.9907594407915561,0.997926255414936,0.9989625895972961,0.8048893375934447,0.5666011479878685,0.792,0.956,2.556999252856128,3.9105928928923928,3.5063517399173656,4.583010911117427
VARMAX(1) con X,0,2,0.09921893258303299,1.2087558182273943,1.2161827031738548,1.1028067388141292,0.8950995162430428,0.625263979030697,0.814,0.96,2.88822549368886,4.417159714096242,3.821338074688693,5.023213360244201
VARMAX(1) con X,0,3,0.06922999682977614,1.3761807765704182,1.3782212074783262,1.173976663941122,0.958371980232492,0.6707437318129257,0.788,0.954,2.9872591800940365,4.568618667312766,4.048021713154258,5.263505140997271
VARMAX(1) con X,0,4,0.016417323004104672,1.3214160875687446,1.3190427838882288,1.1484958789165196,0.9127309866873629,0.6503085047946665,0.796,0.948,3.021092736216693,4.620362626160916,4.067173365088838,5.351736718615204
VARMAX(1) con X,0,5,0.01276053682551884,1.483600583492048,1.4807962136251407,1.2168797038430466,0.9751961493807993,0.6875351855240495,0.806,0.94,3.033357532205574,4.639120012958477,4.2388321120388595,5.8546282626625485
VARMAX(1) con X,0,6,-0.034599786281182196,1.4862762316500822,1.4845008243974864,1.2184009292500915,0.9706302439846911,0.6906502827954456,0.774,0.934,3.0379633097608187,4.64616394187385,4.339279591179117,5.710111493417316
VARMAX(1) con X,0,7,0.023986826857884582,1.7345290510023932,1.7316353607630974,1.3159161678325475,1.0382838136388155,0.7436932121941234,0.744,0.918,3.039739502797037,4.648880394706628,4.657512680312048,6.460323451452497
VARMAX(1) con X,0,8,-0.0515723964997144,1.5216519081277022,1.521268316392172,1.233397063557463,0.9974853989235334,0.7018370823751184,0.762,0.948,3.040440516229488,4.6499525022341155,4.30218631062312,5.6170748166346085
VARMAX(1) con X,0,9,-0.04289424741301252,1.5307399760654625,1.5295184125744603,1.2367370021853719,1.0044780394474844,0.709682610206339,0.758,0.948,3.0407232054868074,4.650384838144788,4.285127370264554,5.363548309449723
VARMAX(1) con X,0,10,-0.0051469099152925335,1.4255630516145286,1.422738416192976,1.1927859892675534,0.9676657642968087,0.6766473580418582,0.798,0.94,3.0408395618943627,4.650562789913803,4.18127705915572,5.561457853421325
VARMAX(1) con X,0,11,-0.08995869842029589,1.3684365017018219,1.3737921961198911,1.1720888175048387,0.9373692371446496,0.6649107565159628,0.798,0.95,3.040888402725526,4.6506374855192165,4.160908691401262,5.484107744893952
VARMAX(1) con X,0,12,0.0016489199537006076,1.3514869407252064,1.3487866857807702,1.1613727591866319,0.9462788242015528,0.6576403344138055,0.828,0.966,3.040909290979121,4.650669431346328,3.9547798627061446,5.407678432204202
VARMAX(1) con X,0,13,-0.05642315585830102,1.3872027657823542,1.3876119327677996,1.1779694107946095,0.9328402088367331,0.66270710882704,0.812,0.948,3.0409183848073726,4.65068333915647,4.154416601321537,5.789895426752068
VARMAX(1) con X,0,14,-0.009609230783300416,1.5436206279387816,1.5406257239991503,1.2412194503790015,0.9855681118227436,0.697488230777051,0.786,0.938,3.040922411030961,4.650689496734089,4.371534768527686,5.936580182080656
VARMAX(1) con X,0,15,-0.039228088110715154,1.4606756668162315,1.4592931583794204,1.208012068805366,0.9754893894402012,0.6853282161524833,0.796,0.938,3.0409242220324155,4.650692266421791,4.191282123772068,5.453082291100686
VARMAX(1) con X,0,16,0.034393046723065854,1.4275311335351772,1.425858952931002,1.1940933602239827,0.9351817692723285,0.6702465737016006,0.8,0.948,3.0409250487489907,4.650693530775689,4.29532164446935,5.902360443952448
VARMAX(1) con X,0,17,-0.01244753276965204,1.4087988722135056,1.4061362155411303,1.1858061458523186,0.9415290667580772,0.6698177898412071,0.802,0.94,3.0409254313497804,4.650694115913097,4.236923427055232,5.580453945631245
