model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,0,1,-0.004994002077055544,1.0993966347057098,1.0972183750937061,1.0474819211297663,0.8416619619619761,0.5961468684038598,0.7755511022044088,0.9238476953907816,2.5169041963845067,3.8492727956327255,3.757435108358942,5.2297485954471465
VARMAX(1) con X,0,2,0.032471523176748916,2.246320132424627,2.2428728886900924,1.4976224119216741,1.1852582227706652,0.853039123965618,0.6993987975951904,0.9038076152304609,3.145992405553909,4.8113801865646435,5.44860884212423,7.81065385045327
VARMAX(1) con X,0,3,0.06723897887142259,2.884406162618466,2.8831468698267577,1.6979831771330238,1.3416285521985898,0.9626406836421924,0.7034068136272545,0.8837675350701403,3.522429114306677,5.3870904517233384,6.283433084558883,9.257380236363673
VARMAX(1) con X,0,4,0.060998151288741254,3.3887877313011083,3.3857173479835976,1.8400318877627087,1.4445459565288117,1.049180789812371,0.7014028056112225,0.8597194388777555,3.7781778050092,5.77822432128185,6.9009333173823135,10.126586043018689
VARMAX(1) con X,0,5,0.11617518091207295,3.612395888173418,3.6186532905163924,1.902275818727766,1.5290503345336501,1.090228279320085,0.6893787575150301,0.8817635270541082,3.9612727641964693,6.058243897088279,6.99403270686773,10.103274789260096
VARMAX(1) con X,0,6,0.048280993507670594,4.0706242795417795,4.064797770189416,2.01613436312896,1.5919568475556076,1.1406311833545848,0.7014028056112225,0.8937875751503006,4.096539921349263,6.265117161838989,7.3153200600996655,11.08461452806539
VARMAX(1) con X,0,avg_all,0.05336180427993346,2.883655138127518,2.8820677570499935,1.6669215966339832,1.3223503125915501,0.9486444880831185,0.7117568470273881,0.8911155644622578,3.503552701133339,5.358221469021637,6.116627186565294,8.935376340434706
VARMAX(1) con X,1,1,-0.09713521718378079,1.183854833996529,1.1909176298367226,1.0912917253588623,0.8535834235334995,0.6159514228023908,0.7474949899799599,0.9098196392785571,2.5052093730419025,3.8313871067745304,3.952458022232352,5.294620468788679
VARMAX(1) con X,1,2,-0.006304029301831054,1.9632178147466515,1.9593232512941205,1.399758283166819,1.1162730741965226,0.7936107069668823,0.7234468937875751,0.9018036072144289,3.1103208781754543,4.7568252932501505,4.978344647973136,7.046359419476569
VARMAX(1) con X,1,3,-0.033033036154339446,2.646992580012157,2.64277916714101,1.6256626855350436,1.2948617557076285,0.9258783536047139,0.717434869739479,0.8877755511022044,3.474963517672881,5.3144980860252655,5.945866164171328,8.553409441118808
VARMAX(1) con X,1,4,0.0002427874967295264,3.3161026599670347,3.309457222600238,1.819191365030144,1.4424585397918173,1.0384909697988862,0.6753507014028056,0.8837675350701403,3.7252984055849665,5.697352258711682,6.680249836819364,9.370662568402928
VARMAX(1) con X,1,5,0.08315707054170213,4.012564112430648,4.011438000165572,2.002857458773732,1.636888733800041,1.1636862315989795,0.657314629258517,0.8496993987975952,3.9060339880917048,5.973763479268028,7.427491465781192,10.752826097472923
VARMAX(1) con X,1,6,0.11758802114545301,4.324605029419631,4.329765428991402,2.080808840088729,1.6800913468774885,1.203740389186165,0.6633266533066132,0.8617234468937875,4.040326445278507,6.179146069058441,7.706711314371385,11.421983964069566
VARMAX(1) con X,1,avg_all,0.010752599423988894,2.9078895050954423,2.9072801166715103,1.6699283929922215,1.3373594789844996,0.9568930123263365,0.6973947895791583,0.8824315297261189,3.460358767974236,5.292162048848016,6.115186908558126,8.739976993221582
Chronos-2 joint (con X),0,1,0.01856820642397723,1.4460645086752741,1.4435171579477255,1.2014645887198363,0.9638536349303498,0.6902831213848395,0.824,0.988,3.357103820800781,7.220049484729767,4.36343139915596,7.530382501321086
Chronos-2 joint (con X),0,2,0.08816037410078939,3.38797287184022,3.388969177658133,1.8409153097462503,1.4493813656198025,1.0392291708963382,0.766,0.96,4.441671142578125,9.113265772819519,6.799694935864671,10.621644064743474
Chronos-2 joint (con X),0,3,0.168829269850661,4.788462447886229,4.807388845348761,2.192575847114248,1.7418139146304952,1.24638086785325,0.78,0.958,5.304716400146484,10.695636677742005,7.9516633190578805,12.57008104067885
Chronos-2 joint (con X),0,4,0.2036619898156158,6.070434161142416,6.099771498915783,2.4697715479201277,2.014639027794481,1.4150602461787867,0.776,0.948,5.948884857177735,11.850727946281433,8.926240678119441,13.50535698032999
Chronos-2 joint (con X),0,5,0.31470871127524663,7.567983351173151,7.651888957423332,2.766204793109746,2.2009878065992123,1.5693914605084074,0.75,0.944,6.368364990234375,12.642420825958252,10.051101971768965,15.15197679252265
Chronos-2 joint (con X),0,6,0.29585158358721025,8.535256249637182,8.605713896648957,2.9335497092513974,2.3225629823972125,1.6598211976527943,0.722,0.962,6.75050732421875,13.323825298309327,10.614486984681962,15.374817812695738
Chronos-2 joint (con X),0,avg_all,0.18163002250891672,5.299362265059079,5.332874922323782,2.2340802993102677,1.7822064553285921,1.270027677412403,0.7696666666666667,0.96,5.361874755859375,10.807654334306717,8.11776988144148,12.4590431987153
Chronos-2 joint (con X),1,1,-0.027642521566236415,1.3371447324385095,1.3352345519721702,1.155523496936419,0.9274893699984263,0.665039404271943,0.792,0.994,3.1322982788085936,6.6353797192573545,4.240740265234676,6.800718008187305
