model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
Chronos-2 (con X),9,-0.01212946077652757,2.4979657441811747,2.493116936511539,1.5789607140494468,1.2557123003616029,0.8985465118105007,0.73,0.932,3.63052783203125,6.020926444530487,5.770821203639521,7.730350404124386
Chronos-2 (con X),10,-0.04654955782449205,2.3414046428819746,2.3388886949298686,1.5293425695147143,1.23022851384396,0.8695089462105441,0.752,0.946,3.6374700317382813,6.058571414470673,5.4604100734165675,7.276896736955129
Chronos-2 (con X),11,-0.09486882312742334,2.3872276003481283,2.391453238749014,1.5464324229493553,1.2473552738552525,0.8807940724981794,0.756,0.94,3.6593636474609377,6.0781531577110295,5.494364905213695,7.404739957457775
Chronos-2 (con X),12,-0.06001091947655799,2.0073585924310935,2.006945185702653,1.4166669282871867,1.1300026674999257,0.8038561818187013,0.796,0.964,3.6781055908203126,6.101013982772828,5.131627349316042,6.799934139084703
Chronos-2 (con X),13,-0.03276337480712195,2.0729637491650856,2.069891260395509,1.4387116668726603,1.1613594396453955,0.8177414821264237,0.796,0.956,3.668598419189453,6.116314141273499,5.057174701295344,6.911183214365193
Chronos-2 (con X),14,-0.0048399050000258225,2.3300705834154645,2.3254338669290426,1.5249373321317314,1.2062610653768666,0.8626583431481942,0.764,0.942,3.70941259765625,6.180362403869629,5.541150580195519,7.608749206340056
Chronos-2 (con X),15,0.03410018956338981,2.1710998998698696,2.1679205229983913,1.4723859966049635,1.1934575299141597,0.8385105831347031,0.78,0.96,3.6973155517578125,6.180997482776641,5.169957422043991,6.963241929136059
Chronos-2 (con X),16,0.06511412683663598,2.2862030155126756,2.285870458995344,1.5119095406125804,1.1871623982996327,0.8476397223640679,0.79,0.95,3.693138610839844,6.172746199131012,5.363397205761985,7.557215908933093
Chronos-2 (con X),17,0.12728209821548958,2.22048282969694,2.232242596563685,1.4940691404897182,1.1868325115839562,0.8435367473271826,0.788,0.962,3.8027802734375,6.3544769268035886,5.335808859408306,7.218745357151904
Chronos-2 (con X),18,0.1339172953764428,2.1219840223156314,2.13567389627194,1.4613945039830758,1.1637550389835754,0.8305620404711538,0.788,0.954,3.8198027648925783,6.388532044887543,5.3105829909774185,7.109657952033015
Chronos-2 (con X),avg_all,0.012518336559900355,2.083474387764156,2.0831352011066966,1.4388668298198448,1.1496225750814728,0.8159675340253606,0.7744444444444445,0.9521111111111111,3.5582155884636775,5.920405571566688,5.138805972437876,6.932294760753911
