model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,0,1,-0.004452674757119633,1.072774652230445,1.0706489292384764,1.0347216675215014,0.8297281177925772,0.5887409036065038,0.78,0.934,2.51991822318114,3.853882351836841,3.707232488468766,5.135550920728555
VARMAX(1) con X,0,2,0.045205438154905506,1.7539945521419513,1.7525300946764457,1.323831596040994,1.0524517010345626,0.7516688623800051,0.708,0.902,2.8305590136318957,4.328966443481486,4.726629736740193,6.960987366718154
VARMAX(1) con X,0,3,0.0662453704141816,1.794042416445356,1.7948427807137772,1.339717425696097,1.0497370508959127,0.7534220245502437,0.73,0.906,2.927497826529887,4.47722156414328,4.850379437954414,7.07708497187878
VARMAX(1) con X,0,4,0.04646650020756696,1.7407587353890839,1.7394363535598438,1.3188769288905784,1.0513283509452267,0.7500535993238411,0.738,0.904,2.9625674550368184,4.530855932570409,4.74424249758911,6.468029983852825
VARMAX(1) con X,0,5,0.09773003880488612,1.5998327900688982,1.6061842849735652,1.2673532597399848,1.0182827383433906,0.7181591296212071,0.75,0.922,2.976329388086433,4.551902992915139,4.528610923834359,6.1926955470687455
VARMAX(1) con X,0,6,0.00997027175694703,1.6029938801040888,1.5998872986627863,1.264866514167715,1.0055070596457056,0.7152292735168457,0.758,0.92,2.9820942081991975,4.560719524455613,4.481306597736429,6.290124915280178
VARMAX(1) con X,0,avg_all,0.043527490763561265,1.594066171063304,1.5939216236374827,1.258227898676145,1.0011725031095626,0.7128789654997747,0.744,0.9146666666666666,2.8664943524442283,4.383924801567127,4.506400280387213,6.354078950921206
VARMAX(1) con X,1,1,-0.09366706229686043,1.1565484288572723,1.1630088505588827,1.0784288806216582,0.8392124826898587,0.6088247697433878,0.756,0.906,2.5121244715935833,3.841962837377364,3.9107345557795505,5.203879332560341
VARMAX(1) con X,1,2,0.01829392831508738,1.4345138993462703,1.4319795393607748,1.1966534750548192,0.9543613410363289,0.6760889244735361,0.764,0.932,2.8035321791841668,4.2876324671063974,4.193485251322666,5.756915422239429
VARMAX(1) con X,1,3,-0.016190597833902972,1.5926524449117887,1.5897292754801824,1.2608446674670843,1.0085710390644596,0.7173138243375893,0.756,0.916,2.8944429985577647,4.426668567227398,4.538928054685378,6.16792733349933
VARMAX(1) con X,1,4,0.018400580848002904,1.727547208033951,1.7244306949934287,1.3131758050594096,1.0430079530030585,0.7413155400695454,0.736,0.904,2.9278824388211504,4.477809777882904,4.659755213638865,6.344139739495935
VARMAX(1) con X,1,5,0.08546555523995344,1.8438044149698287,1.8474211672723626,1.3591987225098332,1.1217878937559784,0.782892645947509,0.718,0.902,2.9412724636986676,4.498288053761627,4.782588288311855,6.531522302655134
VARMAX(1) con X,1,6,0.08961569416636195,1.7004535298008523,1.7050835953821686,1.3057884956539358,1.0416436702461693,0.7422785642201408,0.72,0.91,2.9469759979837327,4.50701085671694,4.685047393613678,6.318971955331689
VARMAX(1) con X,1,avg_all,0.01698634973977371,1.5759199876533272,1.5769421871746332,1.2523483410611236,1.0014307299659755,0.7114523781319516,0.7416666666666667,0.9116666666666666,2.837705091639845,4.339895426678771,4.461756459558665,6.053892680963643
Chronos-2 joint (con X),0,1,0.03299617196991916,1.2692155849090077,1.2677659011038585,1.1259511095531007,0.9088480691486462,0.6427871187211173,0.808,0.982,3.1001941833496094,5.872570587635041,3.9902010328285322,6.178770922866146
Chronos-2 joint (con X),0,2,0.11505606455911686,2.417280243900798,2.4256835814048263,1.5574606195357963,1.224729052703729,0.8752744023502033,0.78,0.954,3.7069705810546876,6.931359945297241,5.630004146462888,8.54064339630926
Chronos-2 joint (con X),0,3,0.1845650251269989,2.5563471485703584,2.5852987027733483,1.607886408541769,1.2934216375656804,0.910194123632669,0.802,0.974,4.086238464355469,7.641659341812134,5.599927548302742,8.304514246691022
Chronos-2 joint (con X),0,4,0.18411878791421868,2.747268937349917,2.7756741275382173,1.6660354520652365,1.3488052192672866,0.9457696211641423,0.806,0.968,4.31848828125,8.0156545419693,5.821611203413516,8.67814203134037
