model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,0,1,-0.005831897920606039,1.0579636297740054,1.0558817135478127,1.027561051007585,0.8255913670189251,0.5843855118055218,0.772,0.934,2.5204167070957157,3.854644717195909,3.6877468951590506,5.0546379333553135
VARMAX(1) con X,0,2,0.0546527554456114,1.68281447094631,1.6824357656822164,1.2970874163610626,1.0304422596125786,0.7358908140712643,0.72,0.906,2.7864995984604337,4.26158338279343,4.618304002127228,6.784570831580383
VARMAX(1) con X,0,3,0.06956755839527061,1.6837870313691385,1.6852591024874801,1.2981752972874965,1.0188963673783595,0.7300717628486331,0.738,0.914,2.855013475263512,4.366366315127621,4.675122146104228,6.827905008898121
VARMAX(1) con X,0,4,0.04985046673502535,1.6277376360715237,1.6269672298330806,1.2755262560343792,1.0250079701460146,0.7253108121272058,0.726,0.912,2.8762884547786913,4.398903588494272,4.553365214247408,6.164530021934741
VARMAX(1) con X,0,5,0.09759668830760607,1.4863684554122412,1.4929208320700302,1.2218513952482235,0.9799123941537872,0.6899741701882309,0.764,0.936,2.8841781992423554,4.410969911388925,4.3036869804179725,5.906280671735805
VARMAX(1) con X,0,6,-0.003391612637036369,1.466979499533977,1.4640570435711877,1.20998224927938,0.9519464520960065,0.6811853301821406,0.774,0.918,2.887533671627288,4.416101663557467,4.314076958132155,5.950363527041859
VARMAX(1) con X,0,avg_all,0.04374065972097851,1.5009417871845325,1.501253614531968,1.2216972775363546,0.9719661350676119,0.6911364002038328,0.749,0.92,2.801655017744666,4.284761596426273,4.358717032698007,6.114714665757703
VARMAX(1) con X,1,1,-0.09320496380900672,1.1416911446574778,1.1480949276468002,1.0714919167435657,0.8369630518048482,0.6066731969295991,0.748,0.914,2.5170045069664297,3.849426207429115,3.8948033250402396,5.114356248749442
VARMAX(1) con X,1,2,0.015091361607042287,1.7034790305071315,1.7002998216412712,1.3039554523223833,1.0405448781105642,0.7340792691597062,0.772,0.928,3.097173822309577,4.736718606408481,4.598341833775675,6.319226942307731
VARMAX(1) con X,1,3,9.976342078976707e-05,2.265507726710788,2.260976721210108,1.5036544553886402,1.19945596120079,0.8567807954987766,0.726,0.906,3.343617936004332,5.113622353421068,5.443809940671379,7.6090291784541195
