model,var,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
VARMAX(1) con X,1,12,-0.002339862192168865,4.322467707126611,4.313828246667438,2.076975745324783,1.6482589716989804,1.178465305496302,0.736,0.908,4.663737413660934,7.132570869470247,7.528034731144226,10.726080221648989
VARMAX(1) con X,1,13,-0.0220306310435031,4.238410885221761,4.2304194121554906,2.056798340177153,1.6474841916749703,1.1694093106413783,0.732,0.912,4.694494481200153,7.1796097450548775,7.360183681127579,10.001328935113014
VARMAX(1) con X,1,14,-0.03615213368094619,4.636438403899916,4.628472503861805,2.151388506026237,1.6894487385147452,1.218641055136578,0.73,0.902,4.719621218100905,7.218037773000487,7.946262996049315,11.547194860639669
VARMAX(1) con X,1,15,-0.047984212009430406,4.5479282437419215,4.541134871856604,2.130993869502351,1.6725964154980835,1.2027533699322666,0.74,0.904,4.74026006754669,7.249602169380345,7.778396604544998,11.472069707867803
VARMAX(1) con X,1,16,-0.02812093152230091,4.970307270905363,4.961157443153235,2.2273655836331034,1.740181341387239,1.2642701523087034,0.712,0.892,4.7572993670236645,7.275661529139686,8.220956434468809,11.823627599502382
VARMAX(1) con X,1,17,0.037260617458223115,4.678876414698616,4.67090701548259,2.1612281266637705,1.685856270579721,1.219695633723398,0.74,0.892,4.771435027413832,7.297280156128479,7.965603046001172,11.591436974989689
VARMAX(1) con X,1,18,0.08416031587527159,4.653021092238571,4.650798008822319,2.1565708912118606,1.7386618261322546,1.2301633500768854,0.73,0.9,4.783215891232503,7.315297432539475,7.774227783253319,10.974804810036876
VARMAX(1) con X,1,avg_all,0.006658680070611013,3.731834301149737,3.7256270639685343,1.9016833283112067,1.5121837816403823,1.0792048773142933,0.7457777777777778,0.9091111111111111,4.2879775016281245,6.557895675573332,6.876412650271068,9.746763515026377
Chronos-2 joint (con X),0,1,0.00020754816507823293,1.2858422073224711,1.2832705659840637,1.1328153273963342,0.916578612443031,0.6420119360291794,0.826,0.988,3.0175472927093505,5.953970667839051,3.9646006775744125,6.03782621597661
Chronos-2 joint (con X),0,2,0.08329307289019744,2.659361295355125,2.660980308755904,1.6312511482772676,1.2910906501860286,0.9157238539235804,0.778,0.97,4.085955871582032,7.634084830284118,5.688758133366575,8.43992013618834
Chronos-2 joint (con X),0,3,0.10579965911834456,3.8569470431451354,3.860426716928406,1.9647968640366886,1.5641589138328136,1.1006371207770411,0.808,0.978,4.978902465820313,9.087878158569335,6.832223621556633,10.188777112532703
