model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(4, 0, 0)+trend",1,-0.0024538405194463736,0.9551407246536953,0.9532364645376825,0.9763382941059325,0.7709784567407318,0.5519119687458599,0.79,0.946,2.4991658952063327,3.822144405023355,3.472815765941884,4.5392499389370355
"ARIMA(4, 0, 0)+trend",2,0.006003226619127251,1.7595855797283182,1.7561024472987026,1.3251801565442725,1.0945326946252971,0.7601809820293526,0.77,0.952,3.330697098986588,5.0938616384520055,4.503739578101443,5.812315162841187
"ARIMA(4, 0, 0)+trend",3,-0.007241425985375265,2.3669333774144814,2.362251948909951,1.536961921750162,1.2517020776577599,0.8779061675047959,0.754,0.924,3.629174911566078,5.550344060672371,5.457326539342444,7.0912095478491395
"ARIMA(4, 0, 0)+trend",4,-0.0762879026328653,2.705244964906805,2.705654319065109,1.6448873271641158,1.3147410776738149,0.9331496193502817,0.762,0.91,3.7850259245263054,5.788697616290963,5.868901665096676,7.980268682522668
"ARIMA(4, 0, 0)+trend",5,-0.06918347918748083,2.7240942612815413,2.723432426551461,1.6502825293117118,1.305926900848453,0.9299735699139973,0.758,0.914,3.8561529128243404,5.897476957786841,5.883525009656559,7.933262847821173
"ARIMA(4, 0, 0)+trend",6,0.03260566431004239,2.7782868755292593,2.7737934311232983,1.6654709337371512,1.3245935845753598,0.9436597119697919,0.75,0.92,3.884397009785648,5.94067257652613,5.899770210192598,8.008132695098416
"ARIMA(4, 0, 0)+trend",7,0.013671848096767377,2.831131883128442,2.8256565387925647,1.6809689285625016,1.3359416671893962,0.9501856223842761,0.748,0.93,3.898312349260892,5.961954251752783,5.998919416696602,8.01446339899852
"ARIMA(4, 0, 0)+trend",8,-0.009799233070009373,2.9556764955851134,2.949861167562708,1.7175159875712098,1.3732500404275925,0.9766668023591414,0.73,0.914,3.906073539163994,5.973823967413271,6.119318899468786,7.836196145630414
"ARIMA(4, 0, 0)+trend",9,-0.016631336688981598,2.9427909192003177,2.9371819387219813,1.7138208595772142,1.3671164008144754,0.9689123720984179,0.752,0.918,3.9106971045992345,5.98089510054351,6.1242743557360315,8.539250144010039
"ARIMA(4, 0, 0)+trend",10,-0.029916170035661396,2.9540082795664833,2.948995240236951,1.7172638819462054,1.3467310934949699,0.9720267362116001,0.742,0.906,3.9134604756480043,5.9851213118619935,6.262789233241243,8.615922446689071
"ARIMA(4, 0, 0)+trend",11,-0.04977009738630692,3.100828553405316,3.0971039588923452,1.7598590735886626,1.4170206719619463,1.0043351887849046,0.714,0.918,3.915075143293039,5.987590732926541,6.34462467935236,8.52325580504415
"ARIMA(4, 0, 0)+trend",12,0.04794121644399911,3.0747662566687994,3.0709150843895943,1.7524026604606586,1.4045584771880932,0.9935753104179229,0.73,0.914,3.916007709173986,5.989016969364479,6.193146563864502,8.854399801259758
"ARIMA(4, 0, 0)+trend",13,0.10095601656264398,2.9558743259801132,2.9601546946083532,1.7205100100285244,1.3777156574387242,0.9784042480932854,0.73,0.926,3.9165558165153302,5.989855227205646,6.145408861176606,8.071195863303437
"ARIMA(4, 0, 0)+trend",14,0.03612654400803002,2.933150963826511,2.928589789080821,1.7113123002774278,1.3603297419457752,0.9689017919764142,0.752,0.922,3.9168970459075774,5.990377092526763,6.147495298717232,8.192889955760936
"ARIMA(4, 0, 0)+trend",15,0.12975645391938825,2.7876316017296787,2.7988930758599513,1.67298926352202,1.3314527288568283,0.9425732622267474,0.774,0.918,3.917119993605089,5.990718061606195,5.89059808783554,8.239825592627621
"ARIMA(4, 0, 0)+trend",16,0.07024567046680869,2.9780534094886275,2.9770317568889793,1.7254077074387315,1.3776884481434775,0.976751914982328,0.75,0.908,3.917268133841861,5.990944622547291,6.157813394529663,8.488437770448853
"ARIMA(4, 0, 0)+trend",17,0.16841875794982067,2.859240790849166,2.8818871872968295,1.6976122016811819,1.37302608492921,0.9711107767491367,0.722,0.916,3.9173655285282885,5.991093574866345,5.9844165911264575,7.888429541060961
"ARIMA(4, 0, 0)+trend",18,0.1553079331546408,2.829182725966933,2.8476449146157674,1.6874966413642924,1.3493047583497646,0.9597659365539384,0.758,0.912,3.9174286673446224,5.991190137353077,6.030403731055303,8.111726466327548
"ARIMA(4, 0, 0)+trend",19,0.10672041259052127,3.0486518011295085,3.0539437439907426,1.7475536455258656,1.3916646914871977,0.9876796697764898,0.75,0.902,3.917469967149947,5.991253299954698,6.251977293428919,8.824352155371187
"ARIMA(4, 0, 0)+trend",20,0.13562830515046834,3.256671518132847,3.2685532122545675,1.8079140500185753,1.418987119801788,1.0167140234072662,0.722,0.902,3.9174978445835826,5.991295934810272,6.44311822779824,9.289388029891516
"ARIMA(4, 0, 0)+trend",21,0.1535906623480779,3.098267089088508,3.1156606464708525,1.7651234082836396,1.3757883946227425,0.9914953901888174,0.742,0.912,3.917517331855555,5.9913257380208975,6.352028910973632,9.166877980934759
"ARIMA(4, 0, 0)+trend",22,0.15769988724015296,3.050995735749269,3.06976299871333,1.7520739135987757,1.3970858479448858,0.990567123052124,0.764,0.912,3.917531211921964,5.991346965750614,6.238953279827877,9.246302683183607
"ARIMA(4, 0, 0)+trend",23,0.11707916009310543,3.173300983364478,3.180661911125859,1.78344103102005,1.415599189020785,1.0091100754373554,0.724,0.906,3.917541068242944,5.991362039692762,6.4046151945724485,9.092904671112208
"ARIMA(4, 0, 0)+trend",24,0.061308032002550514,2.8470849847079744,2.845149489526584,1.6867570926267315,1.3226516382460363,0.9511481951527827,0.754,0.92,3.9175479904358426,5.991372626273229,6.093719565028328,8.409236950223724
"ARIMA(4, 0, 0)+trend",avg_all,0.05132401272708407,2.790274754211758,2.7930049327714577,1.6624643258210672,1.324932810166046,0.9419461024736262,0.7475833333333334,0.9175833333333333,3.810499194748627,5.827655621217584,5.927904181365057,8.11539559487283
Chronos-2,1,0.037751502325170404,1.0140080830908682,1.013405242852494,1.0066803081676396,0.7879588680607124,0.5704725979934854,0.826,0.986,2.835875,5.938687629699707,3.6981926737264916,6.139211992363323
Chronos-2,2,0.17663901091762518,1.8584153438405944,1.88589985333087,1.3732806899286358,1.112649861419299,0.7886172581834043,0.774,0.96,3.422625,6.821297046661377,4.917882147340291,7.5476143625424195
Chronos-2,3,0.25782631549637947,2.6139574587752263,2.6752039528201146,1.635605072387621,1.3005295321208359,0.9331839087628547,0.744,0.96,3.794625,7.43956273651123,6.0136221002621415,8.638455323432124
Chronos-2,4,0.27185903400061656,3.1169502303162555,3.1846236642233743,1.7845513901884065,1.4023291514207723,1.0135557989924935,0.73,0.934,4.016875,7.857406517028808,6.619629381397328,9.533694606320969
Chronos-2,5,0.33307950028098765,3.2949306535332297,3.3992827457335935,1.8437143883296006,1.454858765588498,1.0361097411558546,0.754,0.95,4.217625,8.193226840972901,6.71501809343563,10.203015978571534
Chronos-2,6,0.5290668371014081,3.3226620636566055,3.595928457649781,1.8962933469402303,1.5001153495326631,1.0715143372996794,0.758,0.948,4.437375,8.49386753463745,6.817487134012791,10.383519207373649
Chronos-2,7,0.5510807819672859,3.598691246804038,3.895183892564111,1.9736220237330426,1.5689939187892779,1.1163147366702317,0.738,0.944,4.6015,8.832016025543213,7.2294729398781135,10.91605179309268
Chronos-2,8,0.5455785827088748,3.860706102894406,4.150640680599244,2.0373121215462406,1.622084064941569,1.1560945721255158,0.766,0.938,4.787,9.149609874725341,7.477178617363797,11.54253406924029
Chronos-2,9,0.5593750136506644,3.9257042075906416,4.23075320507214,2.0568794823888297,1.6106098984039532,1.1714783847592056,0.756,0.94,4.988625,9.551860034942626,7.61948892748333,11.710505140441299
Chronos-2,10,0.6130548238268143,4.008863521856574,4.3766820118301855,2.0920521054290653,1.6380004059420623,1.190330846444678,0.768,0.954,5.032,9.658117797851563,7.669856950330912,11.872647878099116
Chronos-2,11,0.6525776677596484,4.2586181469855715,4.6759585231502205,2.162396476863163,1.72896964589606,1.2410431498890646,0.758,0.948,5.321125,10.036285957336426,7.977858975450438,12.061250909945024
Chronos-2,12,0.8277616639162005,4.261645821069611,4.938311901676785,2.2222312889698914,1.7376258542842649,1.2688506571586171,0.764,0.942,5.337875,10.20995796585083,8.37075229397244,12.653841002246864
Chronos-2,13,0.9752669212543955,4.359065262894206,5.301492700061439,2.302497057557607,1.8201375348802113,1.316602116288212,0.748,0.934,5.459375,10.405024356842041,8.617237582166993,13.222024612064823
Chronos-2,14,0.9062177054881837,4.326716372271305,5.139293469267041,2.267000985722556,1.8240298660378456,1.3120428132788704,0.756,0.95,5.52,10.627903385162353,8.472695244307644,12.48817635483407
Chronos-2,15,1.0277247983165103,4.25192496276729,5.299639373916469,2.302094562331545,1.8276013407521001,1.3264861803224695,0.724,0.95,5.601125,10.614778354644775,8.733670376268822,13.032714300542963
Chronos-2,16,1.1119320214722466,4.390857429744338,5.618468535260204,2.3703308915128716,1.864267197883814,1.3495755776441298,0.738,0.958,5.83875,11.053958351135254,8.777598612397487,13.17074234287142
Chronos-2,17,0.9998146922045441,4.230974263311842,5.222141733533285,2.2852005893429324,1.8332038688643695,1.332871635552942,0.742,0.958,5.79475,12.6724674949646,8.680107248388955,14.103120340221135
Chronos-2,18,1.0992165509324139,4.128132974496429,5.328153734391186,2.3082793882871253,1.850950709093568,1.3467355848319567,0.742,0.972,5.953125,13.010407550811767,8.8074850451632,14.29511596317699
Chronos-2,19,1.1304835956655497,4.375508094493219,5.644750238373152,2.3758683125066407,1.8796533038550851,1.361426268480981,0.764,0.97,6.03075,13.272025730133057,8.913703214331269,15.403335874747587
