model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(1, 0, 0)",1,0.006636438041209007,0.9165793632136169,0.9147902467970638,0.9564466774457757,0.7522782340364295,0.5390007462516029,0.808,0.956,2.527954300455278,3.866172471452579,3.4105294120834255,4.5570190480340615
"ARIMA(1, 0, 0)",2,0.023057042265299834,1.6343750360368503,1.6316379131628,1.2773558287191553,1.0438155269651064,0.7276298591209204,0.788,0.956,3.3582422448692815,5.1359883037618355,4.420534926623417,5.801835130459816
"ARIMA(1, 0, 0)",3,0.011759688971716968,2.422540221210314,2.417833431052606,1.5549384010476448,1.2559917746504385,0.8816122124718397,0.8,0.936,3.877436536915014,5.930027451890825,5.460497428298299,7.283967462279466
"ARIMA(1, 0, 0)",4,-0.06016664281688968,3.0178873985320305,3.015471648642825,1.7365113442309628,1.3953796872530688,0.9833407688127394,0.772,0.926,4.235211889223725,6.477197635232766,6.135138938594181,8.186049729091145
"ARIMA(1, 0, 0)",5,-0.060434572848823816,3.313458528359429,3.310483948898133,1.8194735361906567,1.4274242977706364,1.0261794594048588,0.78,0.932,4.493432285392159,6.872111652093844,6.441028655676291,8.693816396920056
"ARIMA(1, 0, 0)",6,0.021336793932188392,3.7447912820465827,3.737756958257794,1.933327948967219,1.5189332996574774,1.089907111155104,0.764,0.942,4.685076946185217,7.165206868144827,6.938228331148448,9.36787647662001
"ARIMA(1, 0, 0)",7,-0.007794308464436788,4.122176751632805,4.113993149373984,2.0282980918430074,1.5781662137212025,1.1366421589241513,0.78,0.93,4.830056280185009,7.3869336256018805,7.298371253923391,10.137879172241936
"ARIMA(1, 0, 0)",8,-0.02371718597986752,4.465723906328897,4.457354963427044,2.111244884760421,1.6858818341960662,1.1944020251037126,0.762,0.906,4.941301379482292,7.5570683232147715,7.521432740244976,10.043153829059554
"ARIMA(1, 0, 0)",9,-0.037002965305097765,4.6765639488221105,4.668580040365834,2.1606897140417534,1.7164359034839405,1.222596317815751,0.742,0.918,5.027618920484746,7.689079610272858,7.687955579009304,10.453030019681062
"ARIMA(1, 0, 0)",10,-0.053578889533939245,5.007584850137845,5.000440377841261,2.236166446810537,1.7666218689348645,1.265988600471566,0.724,0.916,5.0952087667505594,7.792449359850821,8.090712516068141,10.718007273874024
