model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(2, 0, 0)",1,0.0010501202116313729,0.9288693379367945,0.9270127020133788,0.9628149884652705,0.759018656861402,0.5426308168114039,0.794,0.954,2.522032056603027,3.857115181078827,3.4147140778577167,4.627657557110787
"ARIMA(2, 0, 0)",2,0.019653815487775325,1.0131683814461918,1.011528317146526,1.0057476408853891,0.817060755664864,0.5716328239534108,0.824,0.95,2.6308994162229964,4.023613439661531,3.4870404672332933,4.654712260039782
"ARIMA(2, 0, 0)",3,-0.0025625013936483327,1.218885819747642,1.2164546145215407,1.1029300134285678,0.881392816767042,0.6239482560953162,0.782,0.926,2.670789370280133,4.084619859846988,3.938593488928521,5.195765498994863
"ARIMA(2, 0, 0)",4,-0.0685844768644491,1.2449435744321014,1.2471575177500076,1.1167620685490744,0.8894676716025504,0.6308679276684066,0.776,0.922,2.678954224709384,4.0971069271258935,3.953714886992985,5.238628149402033
"ARIMA(2, 0, 0)",5,-0.026433692976905468,1.0099636565046433,1.0086424693160307,1.0043119382522696,0.8101382888312046,0.5679966868813544,0.808,0.962,2.681805347717824,4.1014673434854645,3.473017656065475,4.7283975858473415
"ARIMA(2, 0, 0)",6,0.061616462732945305,1.1189314293822485,1.1204901550032063,1.0585320755665395,0.8430975934025842,0.5999523981668146,0.782,0.952,2.682625880986983,4.102722240829356,3.74163434188697,4.952610842944077
"ARIMA(2, 0, 0)",7,-0.010543696009821359,1.075785419834828,1.0737450185207058,1.036216685119819,0.8304155143204356,0.5843988310758084,0.816,0.948,2.6829170597904,4.103167560380364,3.6728019400568876,4.992393055211248
"ARIMA(2, 0, 0)",8,-0.013101271326734235,1.227081140133179,1.2247986211632913,1.106706203634592,0.8913462383518398,0.6272008376910004,0.764,0.948,2.6830154865856137,4.103318091173597,3.875629316861478,5.205202233425263
"ARIMA(2, 0, 0)",9,-0.020039497193653624,1.1468594443237587,1.1449673068828872,1.070031451352196,0.849401968018862,0.6030786661938964,0.776,0.934,2.6830520297854346,4.103373979174882,3.8027956722149217,5.1594314992351435
"ARIMA(2, 0, 0)",10,-0.0269848844512441,1.2217950503447643,1.2200796442329191,1.1045721543805633,0.893964606445892,0.6289385314973599,0.766,0.934,2.683065563558924,4.103394677295288,3.8465943285527344,4.999909300344049
"ARIMA(2, 0, 0)",11,-0.037320423689762995,1.2746257708719215,1.2734693333545615,1.128480984932649,0.901800749392524,0.6394580212057516,0.764,0.936,2.683070820587171,4.103402717226189,4.005403976114951,5.233872763669432
"ARIMA(2, 0, 0)",12,0.07146671674571708,1.187180302205264,1.1899134332032675,1.0908315329157237,0.8701233364966063,0.6148349588126345,0.788,0.942,2.6830728838397753,4.103405872698742,3.7806297890711265,5.276765638079986
"ARIMA(2, 0, 0)",13,0.0651443556480364,1.0791890622056661,1.0812744711540518,1.0398434839696078,0.8281907721975548,0.5850217553008161,0.816,0.952,2.6830737162097917,4.103407145698825,3.608824257745089,4.962261581143707
"ARIMA(2, 0, 0)",14,-0.01758615699276086,1.1257296681814053,1.1237874817628166,1.0600884311050738,0.8405943880247233,0.5973762408518662,0.79,0.946,2.683074056205142,4.103407665676841,3.7430480741559187,4.992702270621911
"ARIMA(2, 0, 0)",15,0.108746471150348,0.9852594635052793,0.9951147395659223,0.997554379252541,0.7980592166803191,0.5625759077772322,0.816,0.962,2.6830741975820755,4.103407881894203,3.504649205529496,4.739813773004903
"ARIMA(2, 0, 0)",16,-0.018859024878271676,1.190181446091722,1.1881567460188975,1.0900260299730908,0.8717855039516816,0.6171154523791845,0.774,0.944,2.6830742570402975,4.103407972827706,3.8534277920916544,5.076694076675556
"ARIMA(2, 0, 0)",17,0.13500126112562236,1.030934196835098,1.0470976689469367,1.023277904064647,0.8269517215807773,0.5816834218960542,0.808,0.962,2.6830742823644163,4.103408011557611,3.5250115233040624,4.501005834544614
"ARIMA(2, 0, 0)",18,0.04236308861908171,1.10466376046104,1.1042490642174663,1.0508325576501074,0.833641118092189,0.5930673637975061,0.804,0.95,2.6830742932539335,4.103408028211684,3.695792382277322,4.887728566803775
"ARIMA(2, 0, 0)",19,0.023387858547725984,1.2039654031353304,1.2021044642565089,1.0964052463649145,0.8877189363518111,0.6222115683965379,0.76,0.944,2.683074297981005,4.10340803544112,3.7986032846919597,5.036944305109009
"ARIMA(2, 0, 0)",20,0.06560860321142091,1.1523900807332148,1.1543897893870998,1.0744253298331623,0.8585459239441754,0.6071940638616085,0.786,0.952,2.6830743000490647,4.103408038603938,3.7473514299471016,4.832560838821756
