model,horizon,bias,variance,mse,rmse,mae,crps,cov_80,cov_95,width_80,width_95,winkler_80,winkler_95
"ARIMA(0, 0, 3)+trend",1,0.08399832672806767,1.27342053101644,1.277929408847523,1.130455398875835,0.8899611995722412,0.6448615507538522,0.714,0.854,2.3304782912247233,3.564158977568619,4.280068486226234,6.265764856721389
"ARIMA(0, 0, 3)+trend",2,0.024837307475974034,1.2163867377188609,1.2145708560860788,1.10207570342789,0.8686195734776768,0.6248143597710717,0.722,0.9,2.4341613008028404,3.722728456975778,4.001892011319126,5.878049154965914
"ARIMA(0, 0, 3)+trend",3,0.03668942120425341,1.374541943017952,1.3731389727602186,1.1718101265820409,0.9435876151367595,0.6732332197364659,0.708,0.898,2.512455632410586,3.84246930414146,4.2056792603006095,5.781358170902503
"ARIMA(0, 0, 3)+trend",4,0.051267056087333736,1.2230751862579683,1.223257346925313,1.1060096504666281,0.8937292688734773,0.630592349820031,0.756,0.924,2.6156162777414282,4.000239896372326,3.908951077910562,5.272806189507442
"ARIMA(0, 0, 3)+trend",5,0.014846289660319397,1.2222593645288455,1.220035258116467,1.104552062202804,0.8685707337651246,0.6245636782512564,0.758,0.91,2.6156162777414282,4.000239896372326,3.99164651766528,5.478318839084756
"ARIMA(0, 0, 3)+trend",6,0.05104701938523003,1.362560511745116,1.3624411889097412,1.1672365608177895,0.9256915183185934,0.6648823336169998,0.732,0.902,2.6156162777414282,4.000239896372326,4.319460468470025,6.051170367588282
"ARIMA(0, 0, 3)+trend",avg_all,0.043780903423529714,1.2787073790475303,1.2785621719408902,1.1303565837288312,0.8983599848573123,0.6438245819916129,0.7316666666666667,0.898,2.5206573429437404,3.8550127379671357,4.117949636981974,5.7879112631283824
Chronos-2,1,0.17812254598362942,1.1412913334813966,1.1707363922021246,1.0820057265107816,0.8555590173093744,0.6106066150662395,0.786,0.978,2.814159183502197,5.455400552749634,3.923496543274016,5.790223159999976
Chronos-2,2,0.1850309406790662,1.146578037419189,1.1785213303529312,1.0855972228929711,0.8616944571800057,0.6110470962302564,0.85,0.988,3.0587077026367187,5.925872576713562,3.863221496368581,5.988549887737224
Chronos-2,3,0.2551460851455621,1.255610191007928,1.3181984953910177,1.1481282573785117,0.9348530752770564,0.6521190216936841,0.828,0.988,3.1724973373413086,6.168607372760773,3.983007294285032,6.369370593033802
Chronos-2,4,0.3027632445544569,1.204213752622187,1.2934709073700854,1.1373086245035187,0.9228766037194319,0.6475606879319789,0.848,0.988,3.2456910400390626,6.279470543384552,4.001889934482567,6.415492431428705
Chronos-2,5,0.28791212119557036,1.2397662330364105,1.3201800901016707,1.1489909007915036,0.9086311139232081,0.6530488552842436,0.834,0.988,3.2770810546875,6.345690043449402,4.174241733617517,6.6091139685199325
Chronos-2,6,0.34198804361019053,1.294006423536564,1.408374232661817,1.1867494397141365,0.9340099154131682,0.6719901175270433,0.842,0.99,3.3516141357421874,6.538390274524689,4.362439042624437,6.631803734035133
Chronos-2,avg_all,0.2584938301947459,1.2135776618506124,1.2815802413466078,1.1314633619652372,0.9029373638037074,0.6410620656222414,0.8313333333333334,0.9866666666666667,3.153291742324829,6.1189052272637685,4.051382674108693,6.3007589624591285
